issuer_name,esg_score_zscore
LABORATORY CORPORATION OF AMERICA HOLDINGS,0.6961619618329833
LA FRANCAISE DES JEUX SA,0.5907669746891969
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,-0.041602948173523814
LAMB WESTON HOLDINGS INC.,0.43267449397351637
LAM RESEARCH CORPORATION,1.6974143396989578
LANCASHIRE HOLDINGS LIMITED,-1.0955528196113915
Landis+Gyr Group AG,0.5907669746891969
LANXESS Aktiengesellschaft,0.5907669746891969
LARSEN AND TOUBRO LIMITED,-1.6225277553303254
Lasertec Corporation,-3.045360081771447
LAS VEGAS SANDS CORP.,-0.8847628453238182
LATTICE SEMICONDUCTOR CORPORATION,0.16918702611404945
LEAR CORPORATION,-0.19969542888920389
LEGAL & GENERAL GROUP PLC,1.2231368975519172
LEGGETT & PLATT INCORPORATED,0.5907669746891969
LEG Immobilien SE,0.9596494296924503
LEGRAND SA,0.32727950682972995
LEIDOS HOLDINGS INC.,0.16918702611404945
L E Lundbergforetagen Aktiebolag (publ),-2.0441077039054725
Lem Holding SA,-0.4631828967486708
LENNAR CORPORATION,-1.7279227424741121
LENNOX INTERNATIONAL INC.,1.5393218589832773
LEONARDO - SOCIETA PER AZIONI,-0.041602948173523814
Leonteq AG,0.5380694811173032
LEOPALACE21 CORPORATION,-2.571082639624406
LG Corp.,-1.411737781042752
LG ELECTRONICS INC.,-0.09430044174541748
LIBERTY BROADBAND CORPORATION,-2.149502691049259
Liberty Global Ltd.,-1.4644352746146454
LIBERTY LATIN AMERICA LTD.,-0.7793678581800314
Lifco AB (publ),-0.7266703646081377
Lightspeed Commerce Inc,0.16918702611404945
LIG Nex1 Co. Ltd.,0.5380694811173032
LINCOLN NATIONAL CORPORATION,-0.8847628453238182
LINDE PUBLIC LIMITED COMPANY,-0.25239292246109757
Lion Corporation,0.7488594554048765
LIVE NATION ENTERTAINMENT INC.,-1.6752252489022188
LIXIL Corporation,1.6974143396989578
LKQ CORPORATION,1.4339268718394909
LLOYDS BANKING GROUP PLC,0.6961619618329833
LOBLAW COMPANIES LTD,-0.041602948173523814
Localiza Rent a Car S.A.,0.06379203897026305
LOCKHEED MARTIN CORPORATION,0.3799770004016232
LOEWS CORPORATION,-1.6225277553303254
Logitech international S.A.,1.6974143396989578
LONDON STOCK EXCHANGE GROUP PLC,0.43267449397351637
Lonza Group AG,1.5393218589832773
L'OREAL SA,0.7488594554048765
Lotus Bakeries NV,-0.09430044174541748
LOWE'S COMPANIES INC.,0.64346446826109
LPL FINANCIAL HOLDINGS INC.,-0.09430044174541748
LTIMindtree Ltd,-0.4104854031767776
L&T TECHNOLOGY SERVICES LIMITED,-1.148250313183285
LUCID GROUP INC.,0.16918702611404945
LULULEMON ATHLETICA INC.,0.43267449397351637
LUMEN TECHNOLOGIES INC.,0.32727950682972995
Lundin Mining Corporation,0.011094545398369382
Luzerner Kantonalbank AG,0.32727950682972995
LVMH MOET HENNESSY LOUIS VUITTON SE,0.43267449397351637
LY Corporation,0.9596494296924503
LYFT INC.,-0.6739728710362445
LYNAS RARE EARTHS LIMITED,0.5907669746891969
LyondellBasell Industries N.V.,0.8542544425486638
M3 Inc.,-2.6237801331962998
MABUCHI MOTOR CO. LTD.,0.06379203897026305
MACQUARIE GROUP LIMITED.,0.906951936120557
MACY'S INC.,1.6974143396989578
Magellan Financial Group Ltd,-0.041602948173523814
Magna International Inc.,-0.041602948173523814
MAINFREIGHT LIMITED,-1.8860152231897922
Makita Corporation,-1.833317729617899
Mandatum Oyj,-0.4104854031767776
MANHATTAN ASSOCIATES INC.,0.32727950682972995
MANPOWERGROUP INC.,-0.25239292246109757
MANULIFE FINANCIAL CORP,0.32727950682972995
MAPFRE S.A.,0.6961619618329833
MARATHON OIL CORPORATION,0.06379203897026305
MARATHON PETROLEUM CORPORATION,-0.4104854031767776
Markel Group Inc.,-2.676477626768193
MARKETAXESS HOLDINGS INC.,0.43267449397351637
MARKS AND SPENCER GROUP P.L.C.,0.7488594554048765
MARRIOTT INTERNATIONAL INC.,-1.148250313183285
MARSH & MCLENNAN COMPANIES INC.,-0.19969542888920389
MARTIN MARIETTA MATERIALS INC.,0.16918702611404945
Marubeni Corporation,1.0650444168362376
Maruichi Steel Tube Ltd.,-0.7793678581800314
MARUI GROUP CO.LTD.,0.5380694811173032
MARVELL TECHNOLOGY INC,0.8542544425486638
MASCO CORPORATION,-0.8320653517519245
MASIMO CORPORATION,-1.833317729617899
MASTERBRAND INC.,-1.833317729617899
MASTERCARD INCORPORATED.,0.2745820132578363
MATCH GROUP INC.,-1.6752252489022188
MATSUI SECURITIES CO. LTD.,-2.3075951717649392
MatsukiyoCocokara & Co.,0.906951936120557
MATTEL INC.,0.06379203897026305
Mazda Motor Corporation,-0.25239292246109757
MCCORMICK & COMPANY INCORPORATED,0.8542544425486638
MCDONALD'S CORPORATION,-0.4104854031767776
McDonald's Holdings Company (Japan) Ltd.,-0.041602948173523814
MCKESSON CORPORATION,0.8015569489767707
MDU RESOURCES GROUP INC.,0.7488594554048765
Mebuki Financial Group Inc.,-0.9374603388957115
Medacta Group SA,0.7488594554048765
Medartis Holding AG,0.32727950682972995
MEDIBANK PRIVATE LIMITED,-0.4104854031767776
MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI,0.8015569489767707
MEDIPAL HOLDINGS CORPORATION,0.16918702611404945
Medley Inc,-1.5171327681865387
medmix AG,0.06379203897026305
MEDTRONIC PUBLIC LIMITED COMPANY,-1.148250313183285
MEG Energy Corp.,0.48537198754541006
Meier Tobler Group AG,-1.2536453003270716
Meiji Holdings Co.Ltd.,0.16918702611404945
MELROSE INDUSTRIES PLC,0.1902660235428068
MercadoLibre Inc.,-0.14699793531731067
Mercari Inc.,0.2745820132578363
Mercedes-Benz Group AG,-0.25239292246109757
MERCK & CO. INC.,-0.09430044174541748
MERCK Kommanditgesellschaft auf Aktien,1.6974143396989578
MERCURY NZ LIMITED,0.43267449397351637
MERIDIAN ENERGY LIMITED,1.1177419104081308
Metall Zug AG,0.2218845196859431
META PLATFORMS INC.,-2.412990158908726
METCASH LIMITED,1.6974143396989578
METHANEX CORPORATION,0.43267449397351637
METLIFE INC.,0.06379203897026305
METRO AG,1.5393218589832773
METRO INC.,0.43267449397351637
METROPOLE TELEVISION SA,0.16918702611404945
Metso Oyj,1.6974143396989578
METTLER-TOLEDO INTERNATIONAL INC.,0.5907669746891969
Meyer Burger Technology AG,-0.7793678581800314
MGM China Holdings Limited,-0.4104854031767776
MGM RESORTS INTERNATIONAL,-0.7793678581800314
M&G PLC,0.5380694811173032
MICROCHIP TECHNOLOGY INCORPORATED,-0.3577879096048844
MICRON TECHNOLOGY INC.,0.011094545398369382
MICROSOFT CORPORATION,1.3285318846957044
MICROSTRATEGY INCORPORATED,-1.0428553260394984
MinebeaMitsumi Inc.,-0.14699793531731067
MINERAL RESOURCES LIMITED,0.906951936120557
MISUMI Group Inc.,-0.3577879096048844
Mitsubishi Chemical Group Corporation,0.7488594554048765
Mitsubishi Corporation,0.011094545398369382
Mitsubishi Electric Corporation,0.906951936120557
Mitsubishi Estate Company Limited,0.3799770004016232
MITSUBISHI GAS CHEMICAL COMPANYINC.,-1.3063427938989651
Mitsubishi HC Capital Inc.,-0.9901578324676047
Mitsubishi Heavy Industries Ltd.,0.8542544425486638
Mitsubishi Logistics Corporation,-1.7279227424741121
MITSUBISHI MATERIALS CORPORATION,0.8542544425486638
MITSUBISHI MOTORS CORPORATION,-1.411737781042752
Mitsubishi UFJ Financial Group Inc.,-0.19969542888920389
Mitsui Chemicals Inc.,0.8542544425486638
MITSUI & CO. LTD.,0.16918702611404945
Mitsui Fudosan Co. Ltd.,0.64346446826109
Mitsui Mining and Smelting Company Limited,0.11648953254215624
Mitsui O.S.K. Lines Ltd.,-0.7793678581800314
MIURA CO. LTD.,0.906951936120557
MIXI Inc.,-0.4104854031767776
MIZRAHI TEFAHOT BANK LTD,-0.19969542888920389
Mizuho Financial Group Inc.,0.6961619618329833
MLP SE,-0.5158803903205644
MOBICO GROUP PLC,0.5907669746891969
mobilezone holding ag,-0.6739728710362445
Mobimo Holding AG,1.2231368975519172
MODERNA INC.,-0.9374603388957115
MOHAWK INDUSTRIES INC.,-1.0428553260394984
Molecular Partners AG,0.5907669746891969
MOLINA HEALTHCARE INC.,0.8015569489767707
MOLSON COORS BEVERAGE COMPANY,1.1177419104081308
MONCLER S.P.A.,1.6974143396989578
Monday.Com Ltd,-0.041602948173523814
Mondelez International Inc.,-0.25239292246109757
MONDI PLC,1.3812293782675977
MONGODB INC.,0.06379203897026305
MONOLITHIC POWER SYSTEMS INC.,-0.6212753774643514
MonotaRO Co Ltd,-0.09430044174541748
MONSTER BEVERAGE CORPORATION,-1.5171327681865387
Montana Aerospace AG,-1.0955528196113915
MOODY'S CORPORATION,0.43267449397351637
MORGAN STANLEY,0.43267449397351637
MorphoSys AG,-0.9374603388957115
MOTOROLA SOLUTIONS INC.,0.011094545398369382
MOWI ASA,0.8542544425486638
MS&AD Insurance Group Holdings Inc.,0.2745820132578363
M&T BANK CORPORATION,-0.5685778838924577
MTN GROUP LIMITED,0.8015569489767707
MTR CORPORATION LIMITED,1.6974143396989578
MTU Aero Engines AG,0.3799770004016232
Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen,1.4339268718394909
Murata Manufacturing Co. Ltd.,0.011094545398369382
MURPHY OIL CORPORATION,-0.19969542888920389
MYRIAD GENETICS INC.,-0.9374603388957115
Nabtesco Corporation,0.6961619618329833
Nagoya Railroad Co. Ltd.,0.5907669746891969
NAN YA PLASTICS CORPORATION,-1.2536453003270716
NASDAQ INC.,0.5380694811173032
NATIONAL AUSTRALIA BANK LIMITED,0.06379203897026305
NATIONAL BANK OF CANADA,1.6974143396989578
NATIONAL GRID PLC,1.3812293782675977
Naturgy Energy Group S.A.,1.6974143396989578
NATWEST GROUP PLC,0.8015569489767707
NEC Corporation,0.8015569489767707
NEKTAR THERAPEUTICS,-1.9914102103335791
NEMETSCHEK SE,0.16918702611404945
Neste Oyj,1.6974143396989578
Nestle S.A.,-0.25239292246109757
NETAPP INC.,0.64346446826109
NETFLIX INC.,-1.833317729617899
NEUROCRINE BIOSCIENCES INC.,-0.3577879096048844
NEWELL BRANDS INC.,0.06379203897026305
NEW GOLD INC.,0.2218845196859431
NEWMONT CORPORATION,0.5380694811173032
NEWS CORPORATION,-1.569830261758432
New World Development Company Limited,-0.6212753774643514
NEW YORK COMMUNITY BANCORP INC.,-2.571082639624406
NEXI SPA,0.2745820132578363
NEXON Co. Ltd.,-1.4644352746146454
NEXTERA ENERGY INC.,0.32727950682972995
NEXT PLC,0.5380694811173032
NGK INSULATORS LTD.,0.011094545398369382
NH Foods Ltd.,-1.0955528196113915
NH HOTEL GROUP S.A.,0.2218845196859431
NIBE Industrier AB,0.32727950682972995
NICE LTD,0.8015569489767707
NICHIREI CORPORATION,0.8542544425486638
NIDEC CORPORATION,0.06379203897026305
Nihon M&A Center Holdings Inc.,-0.6212753774643514
NIKE INC.,-1.4644352746146454
NIKON CORPORATION,1.6974143396989578
Nintendo Co. Ltd.,0.2745820132578363
Nippon Electric Glass Co. Ltd.,-1.8860152231897922
NIPPON EXPRESS HOLDINGS INC.,0.011094545398369382
NIPPON PAINT HOLDINGS CO. LTD.,0.16918702611404945
NIPPON SANSO HOLDINGS CORPORATION,-1.2009478067551784
Nippon Sheet Glass Company Limited,-1.2009478067551784
NIPPON STEEL CORPORATION,-0.4631828967486708
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,0.2218845196859431
Nippon Yusen Kabushiki Kaisha,0.5907669746891969
Nishimatsu Construction Co. Ltd.,-0.041602948173523814
NISOURCE INC.,1.1177419104081308
NISSAN MOTOR CO. LTD.,-1.0955528196113915
Nissha Co. Ltd.,0.32727950682972995
Nisshinbo Holdings Inc.,-0.19969542888920389
NISSHIN SEIFUN GROUP INC.,-0.6739728710362445
NISSIN FOODS HOLDINGS CO.LTD.,-0.25239292246109757
Niterra Co. Ltd.,1.0650444168362376
Nitori Holdings Co. Ltd.,-0.25239292246109757
NITTO DENKO CORPORATION,0.6961619618329833
NN Group N.V.,0.64346446826109
NOF CORPORATION,-2.0441077039054725
NOK CORPORATION,-0.6739728710362445
Nokian Renkaat Oyj,1.6974143396989578
Nokia Oyj,1.6974143396989578
Nomura Holdings Inc.,0.906951936120557
Nomura Real Estate Holdings Inc.,-0.30509041603299075
